,text,date
0,"Playrix братьев Бухманов закрывает офисы в России и Белоруссии и релоцируют всех сотрудников. Кроме того, разработчик мобильных игр планирует прекратить какую-либо операционную деятельность в этих странах.",2022-10-07 17:40:52
1,"Мы давно подозревали, что токсичная продуктивность до добра не доводит, а теперь эту мысль подтвердило исследование Microsoft. 50% опрошенных ими сотрудников выгорели за 2022-й. Одна из причин: встревоженные руководители, которые заставляют своих сотрудников возвращаться с удаленной работы в офис.",2022-10-06 19:31:05
2,"Раньше ученые сходились во мнении, что во взрослом возрасте мало что можно сделать для улучшения работы мозга и когнитивных функций. Достигнув определенного возраста, вам остается работать с тем, что есть. Теперь известно, что это не так и что вы можете «тренировать» мозг на протяжении всей жизни, повышая остроту ума и снижая риск нейродегенеративных заболеваний.",2022-10-02 18:13:45
3,"Все когда-нибудь случается в первый раз. Вот и Meta (признана экстремистской в РФ) впервые с основания Facebook в 2004 году сократит персонал и бюджет. Компания уменьшит бюджеты для большинства команд, даже тех, которые растут. «Я надеялся, что к текущему моменту экономика стабилизируется. Но судя по тому, что мы видим, этого не произошло», — заявил Цукерберг.",2022-10-01 18:46:33
4,"Норвегия готова последовать примеру Финляндии и ограничить въезд для россиян. Окончательное решение пока не принято. «При необходимости мы быстро закроем границу, и изменения могут произойти в кратчайшие сроки», — заявила министр юстиции и чрезвычайных ситуаций Эмили Энгер Мель.",2022-10-01 12:00:41
5,"Курс евро на Мосбирже в моменте упал до уровня 2014 года — 51,58 руб. Кратковременным снижением отметился и доллар. Эксперты видят несколько причин укрепления рубля.",2022-09-30 16:40:06
6,"Рекламные бюджеты схлопываются со скоростью света, но мобилизация тут не при чем, выяснили в АКАР и NMi Group. По данным опроса ста с лишним компаний, 22% рекламодателей в России планировали сокращать инвестиции в маркетинг и до 21 сентября, хотя еще в апреле собирались их увеличивать.
 
События последней недели не повлияли на действующие рекламные контракты, сообщают источники «Ъ», но предупреждают, что последствий можно ожидать уже в начале октября.",2022-09-30 11:54:53
7,"За неделю после 21 сентября спрос на отели в странах СНГ взлетел до небес. По данным «Суточно.ру», в Казахстане спрос на посуточную аренду жилья вырос в 32 раза, в Таджикистане — в 22 раза, в Киргизии — в 15 раз. При этом стоимость забронированной ночи часто ниже, чем была на предыдущей неделе.",2022-09-29 16:42:04
8,"За мобилизованными и добровольцами сохранят рабочие места. Такие поправки приняла Госдума. Вместо расторжения их трудовые контракты будут приостанавливать. Кроме этого, мобилизованных и членов их семей освободят от пеней за просрочку оплаты услуг ЖКХ и взносов за капремонт.",2022-09-28 14:53:03
9,"На прошлой неделе россияне начали активно скупать кнопочные телефоны. Например, в «Мегафоне» продажи подскочили на 86%. Самая популярная модель — Philips Xenium E111 за 1390 руб.",2022-09-28 10:05:58
10,"App Store удалил приложения VK. Среди них — приложение соцсети, VK Play, «VK Музыка», «VK Клипы» и другие. Медиахолдинг и Минцифры уже направили запрос в Apple, чтобы выяснить причины удаления приложений.",2022-09-27 18:18:49
11,"Рост внимания к рекламе, потери брендов и ecom как медиа — что рассказали про рынок на brand new conference группы OKKAM (ex-dentsu).",2022-09-27 09:37:10
12,"Таджикский банк «Душанбе Сити Банк» перестал обслуживать карты «Мир». В кредитной организации заявили, что решение связано с техническими неполадками в работе российской платежной системы. О сроках возобновления информации нет. Ранее от обслуживания карт «Мир» отказались турецкие и узбекские банки.",2022-09-26 18:45:18
13,"Mazda может полностью прекратить производство в России. Компания осуществляла сборку на заводе во Владивостоке, на совместном с «Соллерс» предприятии. Ранее на неделе закрыть завод решил другой японский производитель — Toyota.",2022-09-26 10:46:18
14,Британский стартап Hadean привлек $30 млн. В числе инвесторов разработчик компьютерных игр Epic Games и китайский холдинг Tencent. Средства потратят на создание масштабируемой метавселенной.,2022-09-25 20:43:26
15,"Если вам не нравится чей-то комментарий под видео в TikTok, теперь его можно дизлайкнуть. Соцсеть запустили такую кнопку для всех пользователей. В компании отмечают, что это необходимо для получения обратной связи от сообщества. Дизлайкунть можно спам, рекламу и другие неуместные комментарии.",2022-09-25 09:44:41
16,"База для начисления страховых взносов вырастет в 2023 году, до 1,92 млн руб. До введения европейских санкций правительство планировало ограничить ее 1,57 млн. В этом случае средняя сумма увеличения нагрузки за одного работника составила бы 1,2 тыс. руб. в год.",2022-09-24 11:16:33
17,Toyota закроет завод в петербургских Шушарах после 15 лет работы. Компания так и не смогла наладить поставки комплектующих в страну. На этом автозаводе изготовлялись самые популярные модели Camry и RAV4.,2022-09-23 16:59:52
