,text,date
0,"На этой неделе инвестиции привлекли три стартапа, среди основателей которых есть россияне: платформа для управления данными SingleStore, сервис медицинских и страховых услуг BestDoctor и сервис аренды строительных инструментов YouTool.

Максимальная сумма инвестиций — $30 млн. Подробнее о компаниях и инвесторах — на сайте Forbes.

: Getty Images",2022-10-08 12:20:43
1,"Последствия мобилизации для бизнеса: владельцы ювелирных брендов, автосервисов, фитнес-клубов и ресторанов говорят о падении спроса и выручки с конца сентября, в том числе из-за отъезда клиентов в другие страны. 

Сложнее всего сейчас приходится представителям кинотеатров — текущий спад посещаемости в этой сфере бизнеса добавился к уже имеющемуся из-за приостановки киностудиями-мейджорами (Disney, Warner Bros., Paramount) демонстрации своей кинопродукции в российских кинотеатрах.

Forbes поговорил с предпринимателями из индустрий, которые сейчас переживают кризис, о масштабах потерь за последние две недели, прогнозах и планах по восстановлению. 

: Александра Щербака / ТАСС",2022-10-07 11:18:09
2,"Частичная мобилизация затронула IT-компании, которые не успели получить соответствующую аккредитацию. «В зоне риска оказываются и компании не из сегмента IT, но имеющие собственные IT-отделы. Их инхаус-разработчики могут получить повестку, уехать в другую страну, перейти в аккредитованную компанию — то есть внезапно оставить команду»,— поясняет основатель студии разработки «Сибирикс» Владимир Завертайлов.

Некоторые компании рискуют остаться без части штата. Как избежать этого риска, Владимир Завертайлов рассказал в колонке для Forbes.

: Glenn Carstens-Peters / Unsplash",2022-10-07 09:11:48
3,"Forbes начинает работу над рейтингом «Лучшие работодатели России» — 2022. Как попасть в рейтинг?

С 2020 года мы рассылаем анкеты для участия в рейтинге в 150 крупнейших компаний, а также предлагаем всем желающим самостоятельно скачать анкету, заполнить ее и прислать нам по адресу yakovenko@forbes.ru. Анкеты будут приниматься до 21 октября включительно.

Все присланные данные будут использованы исключительно для составления рейтинга и не будут опубликованы без предварительного согласования. По экологическим, а также ряду социальных метрик компании будут сравниваться друг с другом в рамках отраслей, в которых они работают: авиакомпании — с авиакомпаниями, торговые сети и банки — с торговыми сетями и банками, промышленные компании — с промышленными компаниями. 

Заполнение анкеты не гарантирует попадание в рейтинг.

Скачать анкету и ознакомиться с методологией рейтинга этого года можно на сайте Forbes

: Maxim Shemetov / Reuters",2022-10-06 12:11:08
4,"Из России уехало примерно 700 000 человек после объявления частичной мобилизации. Для экстренной релокации россияне выбирали Грузию, Казахстан, Узбекистан, Армению, Турцию и использовали для этого в том числе авиаперелеты, покупая билеты за сотни тысяч рублей.

Многим пришлось оставить работу, так как она не предполагала удаленный формат.

Forbes пообщался с новыми эмигрантами и узнал, сколько денег и времени они потратили на переезд, как им пришлось поступить с работой и что у них в планах.

: Getty Images",2022-10-05 10:02:13
5,"«В обычных условиях на путь, который рынок преодолел в этом году, понадобилось бы минимум 3–4 года. Но по известным причинам динамика рынка внезапно резко изменилась», — считает генеральный директор рекрутинговой компании Get experts (ранее — часть российского бизнеса международного агентства Hays) Ольга Шамбер.

Так как часть специалистов уезжают в другие страны, а другие могут быть призваны, в краткосрочной перспективе рынок труда может стать более женским и возрастным. В целом компании будут вынуждены более гибко подходить к поиску новых сотрудников — не только по полу и возрасту, но и по месту их жительства.

Как мобилизация повлияет на рынок труда в России, рассуждает Ольга Шембер в колонке для Forbes.

: Михаил Метцель / ТАСС",2022-10-03 09:27:37
6,"Forbes продолжает рубрику «Кому дали денег». На этот раз в подборке три инвестиционных раунда — это много по сравнению с несколькими прошлыми неделями. 

Средства привлекли программа для управления инвестиционным портфелем IVM Markets, платформа для благотворительности в играх Impact Lab и производитель протезов «Медитроника». Максимальная сумма инвестиций — $4 млн.

Подробнее о компаниях и инвестициях — в материале на сайте.

: Кадр из фильма «Честный вор»",2022-10-01 15:07:39
7,"Основатель российского обувного бренда Gottlieb Schwarz Андрей Жакевич развивал компанию с 2010 года, в сентябре 2022 предпринимателю пришлось ее закрыть. Бренд не смог найти замену иностранному сырью на российском рынке, а повышать цены не захотел. 

Жакевич делал обувь для российского ведущего и актера Ивана Урганта и запускал обувное направление для таких марок, как Pangaia, WOS Brand: Волк оф Шейм и Alexander Terekhov. Теперь он работает в найме.

Forbes рассказывает, как Gottlieb Schwarz из бренда, который заказывал обувь на контрактном производстве, вырос в полноценную мастерскую, почему столкнулся с кризисом и что другие российские марки делают в аналогичных условиях.",2022-09-30 12:13:50
8,"Почти треть российских компаний пытается бронировать сотрудников от частичной мобилизации. 

Основная реакция среди работодателей сейчас — «замереть и дождаться ясности», констатирует эксперт «Актион Кадры и HR» Данил Мяло: «Однако в текущей ситуации промедление может быть смерти подобно, поэтому часть работодателей пытается всеми возможными способами помочь работникам».

Почти в 13% организаций увольняют сотрудников по их собственному желанию без двухнедельной отработки, почти в 8% — переводят часть штата на удаленку. В случае, если сотрудник работает удаленно, в том числе из-за рубежа, работодатель может не знать о его местонахождении и не иметь возможности уведомить его в случае получения повестки. 

Подробнее — на сайте Forbes.

: Getty Images",2022-09-30 10:05:46
9,"Российские компании начали сталкиваться с мобилизацией своих сотрудников. «Малый бизнес в шоке. Ситуация напоминает 24 февраля этого года: сложно думать о работе. В первую очередь компании постарались сохранить IT-специалистов, потому что их тяжело находить, обучать и не хочется потерять. Представители менее востребованных профессий увольняются и уезжают», — говорит в беседе с Forbes основатель российского финтех-сервиса, пожелавший остаться анонимным. 

Рискуют лишиться части штата и IT-компании, несмотря на попадание их в число тех, чьи сотрудники могут претендовать на освобождение от мобилизации. 

Forbes рассказывает, кому уже пришли повестки, кто находится в зоне риска и что работодатели предпринимают в этих условиях. 

: Anadolu Agency via Getty Images",2022-09-29 09:56:32
10,"Стоит ли удерживать уходящего сотрудника? Замена ключевого игрока может стоить работодателю полторы-две его годовые зарплаты. Кроме того, рабочие задачи нужно передать другим сотрудникам, что снижает скорость работы, а ещё — влечёт за собой изменение эмоционального фона коллектива. 

Если же руководитель будет идти на серьезные уступки, пытаясь сохранить немотивированного работника, то остальные начнут сомневаться в начальстве, которое тратит ресурсы компании попусту.

Кого удерживать, а кого — отпускать, рассказывает HR-директор бизнес-школы «Сколково» Сергей Спасов в колонке для Forbes. 

: Getty Images",2022-09-27 09:54:27
11,"Более 30% российских IT-специалистов уже переехали в другую страну или планируют релокацию в течение ближайшего года, показал опрос компании Ventra. 

В компании признают, что в связи с объявлением частичной мобилизации в России с 21 сентября процент эмигрировавших или планирующих эмиграцию IT-специалистов вырос. Однако часть из них может вернуться или отменить планы — в связи с директивой Минобороны о том, что IT-специалисты не попадут под частичную мобилизацию.

Подробнее — на сайте.

: Bloomberg via Getty Images",2022-09-26 09:46:48
12,"Фразы, которыми мы призываем близких к позитивному настрою, редко помогают. «Время лечит» — далеко не всегда соответствует действительности, а успокаивать такими словами человека, переживающего острую фазу стресса, бесчувственно. «Ну, зато ты пока жив» — тоже сомнительное утешение. 

Психотерапевт и популярный блогер Уитни Гудман заметила, что нас окружает токсичный позитив, который требует от людей постоянного напряжения в попытке мыслить позитивно даже тогда, когда это кажется невозможным. Гудман дает рекомендации, как правильно выражать свои отрицательные эмоции и управлять ими в книге «Токсичный позитив. Как перестать подавлять негативные эмоции и оставаться искренними с собой» (выходит на русском языке в издательстве «Манн, Иванов и Фербер»). Forbes публикует отрывок. 

: Getty Images",2022-09-25 13:08:07
13,"На этой неделе стало известно только об одной инвестиционной сделке с участием российского стартапа. Он работает по модели trade-in — позволяет обменивать старые гаджеты на новые с доплатой. 

Основательница «ДамПродам» — предпринимательница Елена Богатырева. До запуска своего бизнеса она работала в редакции информационного портала, который рассказывает о технологиях и гаджетах.

В 2021 году выручка компании превысила 31 млн рублей, чистая прибыль составила 682 000 рублей. 

Подробнее об инвестиции и о том, на что будут направлены привлечённые средства, читайте в материале на сайте.

: Getty Images",2022-09-25 11:24:30
14,"Что делать работодателю, если сотруднику пришла повестка из военкомата или у него в военном билете есть мобилизационное предписание?

По закону работодатель должен содействовать (то есть передать повестку любыми доступными способами, если она пришла в компанию) своевременной явке сотрудника в военкомат и не препятствовать этому. В противном случае военные комиссары могут оштрафовать руководителя организации или сотрудника, ответственного за воинский учет. 

Можно ли уволить мобилизованного сотрудника, что делать с запланированными отпусками и командировками, кто ответит за неявку — инструкцию для работодателя от эксперта «Актион Кадры и HR» Анастасии Синицыной читайте в колонке для Forbes.

: Сергей Карпов / ИТАР-ТАСС",2022-09-24 10:15:17
15,"Около 50 крупных зарубежных компаний, ушедших с российского рынка, планируют релокацию в Казахстан, сообщил премьер-министр страны Алихан Смаилов на форуме машиностроителей.

Цитата
«На сегодня порядка 50 компаний из более чем 300 крупных зарубежных компаний, которые работают в несырьевой сфере, которые закрыли свое производство в соседней стране, изъявили желание локализовать или релоцировать свои производства и офисы в нашей стране».

Детали 
Премьер обещал, что Казахстан будет стимулировать релокацию: бизнесу предоставляют участки в свободных экономических зонах, индустриальных зонах и других территориях с подписанием специальных инвестиционных соглашений, которые предусматривают налоговые преференции на период создания производства и выхода на рентабельность. 

@forbesglobalrus",2022-09-22 18:13:28
16,"Ситуация на Украине и глобальная рецессия кардинально изменили российский венчурный рынок. 

Если за шесть последних месяцев прошлого года российские компании закрыли 228 сделок на общую сумму $1,9 млрд, то с января по июнь 2022-го состоялось 85 сделок на общую сумму $658 млн. Количество сделок в первом полугодии 2022-го оказалось минимальным с 2016 года.

Как изменился венчурный рынок России, читайте в материале Forbes.

: Maxim Shemetov / Reuters",2022-09-22 13:10:08
17,"С сентября в России действует закон о единой системе учета рекламы в интернете. Многие его положения (в первую очередь в отношении рекламы у блогеров) непонятны игрокам рынка. Например, как маркировать рекламу у инфлюенсеров? Ранее рекламодатели выбирали блогеров как рекламный инструмент во многом из-за нативности такого продвижения.

Эксперты считают: может произойти переток части рынка рекламы у инфлюенсеров в серую зону. 

Forbes пообщался с блогерами, агентствами, экспертами рынка и рассказывает, как проходит их адаптация и к чему могут привести нововведения.

: Getty Images",2022-09-22 09:50:31
18,"Популярность консультаций с наставниками, или менторами, среди бизнесменов растет не первый год. Но если польза от подобного взаимодействия между ментором и предпринимателем очевидна (перенимать опыт более успешных и мудрых коллег — лайфхак на века), то про обратную сторону такого союза почему-то принято не говорить. Например, владелец бизнеса по совету наставника может принимать ошибочные решения, а его цели сместятся с получения результата на получение одобрения. Об этих и о других неочевидных последствиях работы с менторами в колонке для Forbes рассказывает сооснователь российского сервиса заказа еды Chibbis Сергей Крючков. 

: Getty Images",2022-09-21 18:06:57
19,"10 надежных банков Узбекистана. Рейтинг Forbes

Узбекистан — страна, которая в первой половине года стала лидером «карточного туризма» и где в отличие от Армении и Казахстана преобладает госсектор. 

Банковский сектор в Узбекистане, как и в ряде других стран СНГ, в этом году пережил резкий приток вкладчиков-нерезидентов, которым за последние полгода пришлось решать ряд проблем — от невозможности рассчитываться за рубежом картами российских банков до сложностей с трансграничными переводами и комиссиями за хранение валюты. 

При этом основная часть нерезидентов приходит в банковскую систему страны с Украины, из России и Белоруссии — на 1 июля на счетах россиян в Узбекистане было $115 млн. 

Кто вошел в топ 10 банков Узбекистана — читайте на сайте Forbes

: Здание Национального банка Узбекистана (Валерий Шарифулин / ТАСС)",2022-09-21 11:26:20
20,"Adobe покупает своего самого заметного конкурента в области цифрового дизайна, стартап Figma, за $20 млрд. 

В 2015 году проект Figma, как доступную альтернативу Photoshop, запустили студенты факультета информатики Университета Брауна Дилан Филд и Эван Уоллес.

В 2021 году Филд писал в Twitter: «Наша цель быть Figma, а не Adobe». В 2022-м он сообщил, что Figma станет частью компании. По данным Forbes, Филд и Уоллес владеют примерно по 10% Figma, что означает, что после завершения сделки каждый из них станет миллиардером. 

Некоторые эксперты считают, что Adobe сильно переплатила — ее капитализация после объявления о покупке за день уменьшилась на $29 млрд. Дизайнеры тоже недовольны сделкой. Подробнее — на сайте Forbes.

: Zac Wolff / Unsplash",2022-09-20 09:49:55
21,"Основатели Qmarketing продали EdTech-бизнес в России и запустили аналог в Индонезии и Филиппинах — Refocus. К августу продажи курсов превысили $1,5 млн. 

Партнеры начали снимать лекции по диджитал-маркетингу и анализу данных в январе 2022 года. Для Индонезии записали программы на языке «бахаса», а для Филиппин — на английском. Преподавателей искали в «топовых IT-компаниях» вроде азиатского сервиса такси Grab и онлайн-сервиса планирования путешествий и поиска билетов Traveloca.

До конца года предприниматели хотят закрыть два инвестраунда суммарно на $13 млн под выход во Вьетнам, Таиланд и Малайзию.

Forbes узнал, как запускали Refocus, с кем он конкурирует в Юго-Восточной Азии и кому может быть интересен.",2022-09-19 10:14:25
22,"Более чем в 60% компаний столкнулись с ростом заболеваемости COVID-19 среди сотрудников в августе-сентябре 2022 года, показал проведенный для Forbes опрос.

Согласно исследованию, в связи с ростом или опасениями роста заболеваемости короновирусом 22,4% работодателей перевели сотрудников на удаленную работу. 3,5% из них перевели на удаленку весь или почти весь штат. Однако большинство работодателей (77,6%) не прибегало к таким мерам. Подробнее — на сайте.",2022-09-19 09:52:02
