,text,date
0,"За утечку персональных данных оштрафуют и компанию, и директора

Минцифры разработало более детальный порядок наказания юрлиц и ИП за утечку личной информации пользователей. Ведомство предлагает, с одной стороны, начать штрафовать руководителей организаций, а с другой — установить конкретные условия привлечения к ответственности.",2022-10-08 12:12:01
1,"Утвердили ПДД для самокатов и гироскутеров

Беспорядочная и лихаческая езда на гироскутерах и самокатах уже не раз ставила под угрозу здоровье пешеходов, да и самих катающихся. И вот наконец-то для них разработали правила дорожного движения.",2022-10-07 18:12:02
2,"Временно упростили маркировку молочной продукции

Молочную продукцию можно продавать только после прохождения тщательной проверки и правильной одобренной маркировки. Сейчас маркировку временно упростили.",2022-10-07 17:01:03
3,"Термин «частичная мобилизация» закрепят в законодательстве

В сентябре объявили частичную мобилизацию. Но что это такое и к чему обязывает? До сих пор не было четкого разъяснения понятия.",2022-10-07 15:06:25
4,"Какие требования являются однородными

Однородные требования позволяют сторонам прекратить взаимные обязательства с минимальными затратами. Достаточно лишь соблюсти несколько условий.",2022-10-07 11:17:04
5,"Пополнят список ОКВЭД для аккредитации как ИТ-компания

Сотрудники аккредитованных ИТ-компаний получают отсрочку при мобилизации. Чтобы компания получила аккредитацию, она должна соблюдать определенные требования.",2022-10-06 18:12:03
6,"Силовики будут получать новую ежемесячную надбавку

Сотрудникам силовых служб, в том числе полицейским, таможенникам и некоторым другим, с 1 октября начали платить новую надбавку в размере 5 % от существующего денежного довольствия. В следующем году эта доплата еще повысится.",2022-10-06 17:01:10
7,"Вырастет стоимость проезда по платным дорогам

Платные дороги — это комфортно и удобно. Но плата за пользование ими повышается.",2022-10-06 08:27:01
8,"Для ИП на АУСН разработают правила подсчета стажа для пенсии

АУСН — довольно новый режим налогообложения. Он постоянно дорабатывается, чтобы на нем было удобно и комфортно работать.",2022-10-05 18:12:02
9,"Разрабатывают новый налоговый вычет за инвестиции в пенсию и страхование

Минфин разработал новый тип индивидуальных инвестиционных счетов — третий. С его помощью граждане смогут осуществлять долгосрочное инвестирование в договоры пенсионного обеспечения или на страховку.",2022-10-05 08:27:02
10,"Утвердили перечень ОКВЭД для аккредитации ИТ-компаний

Законодатели определились, какие коды ОКВЭД подойдут, чтобы компанию аккредитовали как ИТ.",2022-10-04 15:06:05
11,"Инструкция: как узнать долг по алиментам

Самый распространенный способ узнать свои задолженности — через сайт судебных приставов. Но это не единственная возможность. Давайте разберемся, как посмотреть долг по алиментам через интернет другими способами.",2022-10-04 11:17:03
12,"Изменились правила аккредитации ИТ-компаний

Разработан новый порядок аккредитации ИТ-компаний. Теперь есть два набора требований, соответствие которым необходимо для официального статуса ИТ-компании. Компании достаточно иметь только один из них.",2022-10-03 18:12:02
13,"Инструкция: как сделать нотариальную доверенность за границей

Бывают ситуации, когда одному лицу необходимо уполномочить письменно другое лицо для представительства перед третьими лицами. Если доверитель и представитель находятся в РФ, то проблем с оформлением не возникнет. Но представим ситуацию, что человеку, пребывающему за рубежом, необходимо совершить определенные действия в России. Для устранения вопросов поговорим, как сделать нотариальную доверенность за границей и зависит ли решение этого вопроса от страны пребывания.",2022-10-03 17:01:20
14,"Как пользоваться электронной подписью на портале Госуслуги

Электронная подпись на Госуслугах позволит сэкономить время и оформлять важные документы из дома. Чтобы ее выпустить, необходимо предпринять несколько шагов.",2022-10-03 15:06:13
15,"Как получить свидетельство на временное убежище в РФ

Иностранные граждане и лица без гражданства до получения вида на жительство могут оформить свидетельство на временное убежище в РФ, выдаваемое на основании  письменного заявления. Что это за документ, как и кем он выдается и на какой срок?",2022-10-02 12:18:33
16,"Как составить доверенность на право получения документов

Если нет времени или возможности получить важные бумаги, справки или решения суда, то поможет доверенность. Выписанная на юриста или близкого человека, она значительно облегчает жизнь. Актуально это и для организаций, и для отдельных граждан. Рассказываем, как составить текст доверенности на получение документов и как ее оформить.",2022-09-30 18:12:04
17,"Что такое территориальная оборона

В средствах массовой информации стали появляться сведения, что в Москве и Санкт-Петербурге создается территориальная оборона, в отряды которой отправляют некоторых мобилизованных. В Российской Федерации с понятием тероборона на практике сталкиваться не приходилось, отсюда и множество вопросов: что она из себя представляет и зачем нужна?",2022-09-29 17:01:28
18,"Главные изменения в семейном законодательстве за 2022 год

В 2022 году в Семейный кодекс РФ были внесены значимые изменения, касающиеся как имущественных, так и неимущественных вопросов. Мы (группа компаний ЮАП СПб) подготовили наиболее важные из них.",2022-09-27 15:06:27
19,"Коммуналка вырастет уже с 1 декабря 2022 года

Стандартная индексация тарифов ЖКУ обычно проводится 1 раз в год — летом. Но 01.12.2022 пройдет внеплановое повышение тарифов.",2022-09-26 17:01:37
20,"Как получить гражданство после временного убежища

Вопрос получения гражданства по временному убежищу актуален на фоне послаблений, предоставляемых беженцам. Но в данном случае действуют другие правила.",2022-09-26 15:07:17
