title,text,date
Минобороны заявило об отражении атаки ВСУ на николаево-криворожском направлении,"Вооруженные силы Украины (ВСУ) на николаево-криворожском направлении предприняли неудачную попытку наступления. Об этом журналистам сообщили в Минобороны.Там добавили, что на этом направлении Украина наступала тремя батальонами тактических групп, танковым батальоном и батальоном нацгвардии, который прибыл с западной Украины.Наступление шло в направлении населенных пунктов в Херсонской области — в частности, в направлении Суханово, Пятихатки, Садок, Ищенка, Брускинское, Карло-Марксовской и Малая Сейдеминуха.Спецоперация на Украине началась 24 февраля. Президент Владимир Путин назвал ее основной задачей защиту жителей Донбасса. С 21 сентября в России объявлена частичная мобилизация. Такое решение принято в связи с необходимостью сохранить суверенитет и целостность России, объяснил глава государства в ходе телеобращения, подчеркнув, что призыву подлежат только россияне, находящиеся в запасе.",2022-10-08 00:00:00
Глава Минтранса назвал сроки запуска движения автомобилей по Крымскому мосту,"Глава Минтранса России Виталий Савельев сообщил, что движение по Крымскому мосту будет запущено 8 октября после 16:00 (совпадает с мск). Его слова приводятся в Telegram-канале ведомства.«Состояние неповрежденной части автодорожного полотна позволяет запустить автомобильное движение по Крымскому мосту после 16:00 сегодня по одной полосе в реверсивном режиме», — заявил он, выслушав доклады о состоянии конструкций моста и ходе восстановительных работ.Министр уточнил, что дал все необходимые поручения по усилению транспортной безопасности, включая усиленный осмотр.8 октября на Крымском мосту произошло ЧП. Национальный антитеррористический комитет (НАК) назвал случившееся подрывом, подчеркнув, что на мосту взорвался грузовой автомобиль. В результате частично обрушились два автомобильных пролета моста, а также загорелись семь топливных цистерн железнодорожного состава.По данным Следственного комитета, по меньшей мере три человека погибли. Предварительно, они могли быть пассажирами легкового автомобиля, находившегося рядом с подорвавшимся грузовиком. В настоящее время из воды подняты тела мужчины и женщины, их личности уже устанавливают.",2022-10-08 00:00:00
Пять поездов из Крыма и Севастополя пообещали отправить по расписанию,"Оператор пассажирских перевозок в Крым, компания «Гранд Сервис Экспресс», пообещала отправить пять поездов из Симферополя, Евпатории и Севастополя в Москву, Санкт-Петербург и Кисловодск 8 октября по расписанию. Об этом предприятие сообщило в своем Telegram-канале.«Поезда, отправляющиеся сегодня, планируется отправить по графику: 28 Симферополь — Москва, отправлением в 17:10; 8 Севастополь — Санкт-Петербург, отправлением в 17:15; 166 Симферополь — Москва, отправлением в 20:00; 426 Симферополь — Кисловодск, отправлением 20:30; 174 Евпатория — Москва, отправлением 22:20», — говорится в сообщении. Ранее в Минтрансе заявили, что работоспособность ж/д участка Крымского моста после обрушения и организация движения первых поездов будет обеспечена к 20:00 по московскому времени 8 октября.В «Гранд Сервис Экспресс» добавили, что пассажиров поездов «Таврия», которые были перенаправлены в Анапу, разместят в санаториях и пансионатах. В место назначения их перевезут после восстановления движения. Сейчас в Анапе уже расселили пассажиров поезда №28 из Москвы в Симферополь. Тех низ них, кто изъявит желание вернуться в место назначения, направят туда бесплатно по готовности состава.Кроме того, в пансионатах и отелях разместили пассажиров двух поездов, которые должны были в субботу отправиться из Симферополя в Пермь и Смоленск. На несколько поездов с отправлением с 7 по 9 октября продажу билетов пришлось отменить.",2022-10-08 00:00:00
ВКС России уничтожили более 100 украинских военных в ДНР,"ВКС России разбили две бригады ВСУ на территории ДНР. В итоге войска уничтожили более 100 украинских военных. Об этом в субботу, 8 октября, заявил официальный представитель Минобороны генерал-лейтенант Игорь Конашенков.Он уточнил, что российские войска смогли нанести удары по местам временной дислокации 17-й танковой и 92-й механизированной бригад ВСУ. Украинские военные находились в районе Северска, Нового и Ямполовки в ДНР. Уничтожено более 100 бойцов армии Украины и еще 12 единиц военной техники.Ранее стало известно, что российские средства ПВО уничтожили 12 украинских беспилотных летательных аппаратов (БПЛА). Беспилотники были поражены в районах Николаевской, Херсонской и Харьковской областях, а также в ДНР и ЛНР. Кроме того, были сбиты еще 21 снаряд американской реактивной системы залпового огня (РСЗО) HIMARS в ДНР и баллистическая ракета «Точка-У» в Херсонской области.Помимо этого, российские военные уничтожили украинский МиГ-29 в Запорожской области. Как отметил Конашенков, самолет Украины сбили вблизи Чапаевки.24 февраля было объявлено о начале специальной операции в Донбассе. Таким образом Россия отреагировала на просьбы о военной помощи глав ДНР и ЛНР.",2022-10-08 00:00:00
Пентагон пообещал Украине новое оружие,"Пентагон поставит украинской армии зенитно-ракетные комплексы (ЗРК) NASAMS. Об этом сообщает РИА Новости.Уточняется, что Украина получит две батареи NASAMS: восемь пусковых установок, командный пункт и радар в каждой. Общая стоимость поставок оценивается в 182 миллионов долларов.Как отмечал представитель Пентагона Пэт Райдер на прошлой неделе, первые образцы нового оружия Киев получит в течение двух месяцев.NASAMS (Norwegian Advanced Surface-to-Air Missile System) — совместная разработка норвежской компании Kongsberg Defence  Aerospace и американской Raytheon. Всего есть три модификации оружия. Какую выдадут украинским военным, пока неизвестно.Ранее Пентагон назвал количество переданного Украине оружия. Речь шла о поставках более 660 тысяч снарядов и ракет к ним с конца февраля.",2022-10-08 00:00:00
На Сахалине медведь загрыз женщину-повара,"На Сахалине медведь загрыз 60-летнюю женщину-повара. Зверь утащил ее в лес и убил, пишет портал astv.ru со ссылкой на агентство лесного и охотничьего хозяйства области.8 октября около 14:00 крупный медведь забрел на территорию предприятия в Тымовском районе, занимающегося лесозаготовкой. Хищник напал на женщину, которая работала там поваром, и унес ее в лес. Свидетели вызвали полицию и сотрудников лесничества.Медведя удалось найти и застрелить. Особь оказался крупной — больше двух метров в длину, возрастом примерно 5-6 лет. Найдя тело, специалисты обнаружили, что потерпевшая скончалась от полученных травм. Происшествие расследуют сотрудники правоохранительных органов.Летом 2022 года в Индии медведь за один день убил собиравшего хворост мужчину и его родных, которые искали погибшего в лесу. Нападения произошли в округе Нуапада на западе штата Одиша. 60-летний житель деревни Самарсингх Ратан Маджи пошел в лес заповедника «Дуахен», а к вечеру его пошли искать трое родственников и односельчанин. Двое из них погибли.",2022-10-08 00:00:00
Российские ПВО за сутки уничтожили 12 украинских беспилотников,"Российские средства противовоздушной обороны (ПВО) за прошедшие сутки уничтожили 12 украинских беспилотных летательных аппаратов (БПЛА), в том числе один Bayraktar TB2, сообщили журналистам в Минобороны.Беспилотники были уничтожены в районах населенных пунктов в Николаевской, Херсонской и Харьковской областях, а также в Донецкой и Луганской народных республиках (ДНР и ЛНР). Кроме того, в воздухе были сбиты 21 снаряд американской реактивной системы залпового огня (РСЗО) HIMARS в ДНР, а также баллистическая ракета «Точка-У» в Херсонской области.В оборонном ведомстве также сообщили, что на краснолиманском направлении были ликвидированы 30 бойцов Вооруженных сил Украины (ВСУ). Официальный представитель Минобороны Игорь Конашенков также отметил безуспешную попытку ВСУ пройти на краснолиманском направлении при форсировании реки Жеребец.Ранее замглавы Минобороны генерал-полковник Виктор Горемыкин заявил, что российская армия имеет все необходимое оснащение для обеспечения всех подразделений и каждого военнослужащего в полном объеме. Он подчеркнул, что речь идет как о районах проведения специальной военной операции, так о местах подготовки мобилизованных граждан.",2022-10-08 00:00:00
В Минобороны сообщили о ликвидации 30 бойцов ВСУ на краснолиманском направлении,"На краснолиманском направлении были ликвидированы 30 бойцов ВСУ. Об этом в субботу, 8 октября, заявил официальный представитель Минобороны генерал-лейтенант Игорь Конашенков.Он также отметил безуспешную попытку ВСУ пройти на краснолиманском направлении при форсировании реки Жеребец. По словам Конашенкова, две роты пытались пройти вперед, однако потерпели поражение. В итоге уничтожено более 30 украинских военных, еще три боевые машины пехоты и пять пикапов.Ранее стало известно, что российские средства ПВО уничтожили 12 украинских беспилотных летательных аппаратов (БПЛА). Беспилотники были поражены в районах Николаевской, Херсонской и Харьковской областях, а также в ДНР и ЛНР. Кроме того, были сбиты еще 21 снаряд американской реактивной системы залпового огня (РСЗО) HIMARS в ДНР и баллистическая ракета «Точка-У» в Херсонской области.Кроме того, российские военные уничтожили украинский МиГ-29 в Запорожской области. Как отметил Конашенков, самолет Украины сбили вблизи Чапаевки.24 февраля было объявлено о начале специальной операции в Донбассе. Таким образом Россия отреагировала на просьбы о военной помощи глав ДНР и ЛНР.",2022-10-08 00:00:00
Шойгу назначил командующего войсками в районе спецоперации,"Решением министра обороны России Сергея Шойгу командующим Объединенной группировкой войск (сил) в районе проведения специальной военной операции (СВО) на Украине назначен генерал армии Сергей Суровикин. Об этом в субботу, 8 октября, журналистам сообщили в Минобороны.Сергей Суровикин с ноября 2017 года является главкомом Воздушно-космических сил (ВКС) России. С января по апрель 2019 года был командующим группировкой войск ВС РФ в Сирии. В июне 2022 года стало известно, что он командует Южной группировкой российских войск в рамках спецоперации.7 октября глава Дагестана Сергей Меликов сообщил, что Герой России Рустам Мурадов назначен командующим Восточного военного округа. Глава российского региона выразил уверенность в том, что полученный в Чечне и Сирии боевой опыт помогут Мурадову справиться с поставленными задачами на новом посту.24 февраля президент России Владимир Путин объявил о начале специальной военной операции в Донбассе. Решение последовало за признанием Донецкой и Луганской народных республик. Глава государства добавил, что цель операции — демилитаризация Украины.",2022-10-08 00:00:00
Российские военные уничтожили украинский МиГ-29 в Запорожской области,"Российские военные уничтожили украинский самолет МиГ-29 в Запорожской области. Об этом в субботу, 8 октября, заявил официальный представитель Минобороны генерал-лейтенант Игорь Конашенков.По его данным, истребительной авиацией ВКС России был поражен самолет Украины вблизи Чапаевки, которая находится в Запорожской области.Помимо этого, официальный представитель Минобороны отметил безуспешную попытку ВСУ пройти на краснолиманском направлении при форсировании реки Жеребец. По словам Конашенкова, две роты пытались двигаться вперед, однако потерпели поражение. В итоге уничтожено более 30 украинских военных, еще три боевые машины пехоты и пять пикапов.Ранее в Минобороны России заявили о полном обеспечении войск в Запорожье и Херсонщине. В оборонном ведомстве также отметили, что логистика идет сухопутным и частично морским коридорами. Участникам спецоперации на николаево-криворожском и запорожском направлениях доставляется все необходимое.24 февраля было объявлено о начале специальной операции в Донбассе. Таким образом Россия отреагировала на просьбы о военной помощи глав ДНР и ЛНР.",2022-10-08 00:00:00
